OriginalAddress,AddressNumber,StreetName,StreetNamePostType,IntersectionSeparator,SecondStreetName,StreetNamePostDirectional,Recipient,StreetNamePreType,Unable to parse,OccupancyIdentifier,AddressNumberSuffix,StreetNamePreDirectional
53X PAYNE AV ,53X,PAYNE,AV,,,,,,,,,
87X COTTAGE AV E,87X,COTTAGE,AV,,,E,,,,,,
69X DESOTO ST ,69X,DESOTO,ST,,,,,,,,,
107X HYACINTH AV E,107X,HYACINTH,AV,,,E,,,,,,
70X MARYLAND AV E,70X,MARYLAND,AV,,,E,,,,,,
66X CASE AV ,66X,CASE,AV,,,,,,,,,
PAYNE AV  & PHALEN,,PAYNE,AV,&,PHALEN,,,,,,,
45X GERANIUM AV E,45X,GERANIUM,AV,,,E,,,,,,
100X EDGERTON ST ,100X,EDGERTON,ST,,,,,,,,,
105X PAYNE AV ,105X,PAYNE,AV,,,,,,,,,
120X EDGERTON ST ,120X,EDGERTON,ST,,,,,,,,,
42X MARYLAND AV E,42X,MARYLAND,AV,,,E,,,,,,
62X IVY AV E,62X,IVY,AV,,,E,,,,,,
71X COOK AV E,71X,COOK,AV,,,E,,,,,,
152X WESTMINSTER ST ,152X,WESTMINSTER,ST,,,,,,,,,
162X CHAMBER ST ,162X,CHAMBER,ST,,,,,,,,,
66X CASE AV ,66X,CASE,AV,,,,,,,,,
CASE AV  & WESTMINSTER,,,,,,,CASE AV & WESTMINSTER,,,,,
CLARK ST  & WHITALL,,CLARK,ST,&,WHITALL,,,,,,,
136X WESTMINSTER ST ,136X,WESTMINSTER,ST,,,,,,,,,
BURR ST  & WHITALL,,BURR,ST,&,WHITALL,,,,,,,
38X WHEELOCK PA E,38X,WHEELOCK,PA,,,E,,,,,,
51X BRAINERD AV ,51X,BRAINERD,AV,,,,,,,,,
PAYNE AV  & PHALEN,,PAYNE,AV,&,PHALEN,,,,,,,
100X EDGERTON ST ,100X,EDGERTON,ST,,,,,,,,,
110X COOK AV E,110X,COOK,AV,,,E,,,,,,
74X JESSAMINE AV E,74X,JESSAMINE,AV,,,E,,,,,,
65X COOK AV E,65X,COOK,AV,,,E,,,,,,
72X OLIVE ST ,72X,OLIVE,ST,,,,,,,,,
40X UNIVERSITY AV E,40X,UNIVERSITY,AV,,,E,,,,,,
114X LANE PL ,114X,LANE,PL,,,,,,,,,
75X CASE AV ,75X,CASE,AV,,,,,,,,,
69X PREBLE ST ,69X,PREBLE,ST,,,,,,,,,
89X ARCADE ST ,89X,ARCADE,ST,,,,,,,,,
119X BURR ST ,119X,BURR,ST,,,,,,,,,
127X ARKWRIGHT ST ,127X,ARKWRIGHT,ST,,,,,,,,,
145X ARKWRIGHT ST ,145X,ARKWRIGHT,ST,,,,,,,,,
154X ARKWRIGHT ST ,154X,ARKWRIGHT,ST,,,,,,,,,
123X PAYNE AV ,123X,PAYNE,AV,,,,,,,,,
40X MINNEHAHA AV E,40X,MINNEHAHA,AV,,,E,,,,,,
67X BEDFORD ST ,67X,BEDFORD,ST,,,,,,,,,
60X COOK AV E,60X,COOK,AV,,,E,,,,,,
147X ARKWRIGHT ST ,147X,ARKWRIGHT,ST,,,,,,,,,
123X PAYNE AV ,123X,PAYNE,AV,,,,,,,,,
55X ROSE AV E,55X,ROSE,AV,,,E,,,,,,
89X HAWTHORNE AV E,89X,HAWTHORNE,AV,,,E,,,,,,
68X JESSAMINE AV E,68X,JESSAMINE,AV,,,E,,,,,,
84X MAGNOLIA AV E,84X,MAGNOLIA,AV,,,E,,,,,,
71X LAWSON AV E,71X,LAWSON,AV,,,E,,,,,,
LAWSON AV E & PAYNE,,LAWSON,AV,&,PAYNE,E,,,,,,
67X GERANIUM AV E,67X,GERANIUM,AV,,,E,,,,,,
114X PAYNE AV ,114X,PAYNE,AV,,,,,,,,,
125X ARKWRIGHT ST ,125X,ARKWRIGHT,ST,,,,,,,,,
45X MONTANA AV E,45X,MONTANA,AV,,,E,,,,,,
118X COOK AV E,118X,COOK,AV,,,E,,,,,,
BURR ST  & COOK,,BURR,ST,&,COOK,,,,,,,
101X GREENBRIER ST ,101X,GREENBRIER,ST,,,,,,,,,
104X LAWSON AV E,104X,LAWSON,AV,,,E,,,,,,
151X WESTMINSTER ST ,151X,WESTMINSTER,ST,,,,,,,,,
125X EDGERTON ST ,125X,EDGERTON,ST,,,,,,,,,
65X IOWA AV E,65X,IOWA,AV,,,E,,,,,,
86X CASE AV ,86X,CASE,AV,,,,,,,,,
75X CASE AV ,75X,CASE,AV,,,,,,,,,
78X MAGNOLIA AV E,78X,MAGNOLIA,AV,,,E,,,,,,
71X MAGNOLIA AV E,71X,MAGNOLIA,AV,,,E,,,,,,
89X ARCADE ST ,89X,ARCADE,ST,,,,,,,,,
NORTH ST  & PAYNE,,,ST,&,PAYNE,NORTH,,,,,,
DULUTH ST  & ROSE,,DULUTH,ST,&,ROSE,,,,,,,
35X WHEELOCK PA E,35X,WHEELOCK,PA,,,E,,,,,,
120X PAYNE AV ,120X,PAYNE,AV,,,,,,,,,
113X BURR ST ,113X,BURR,ST,,,,,,,,,
59X MARYLAND AV E,59X,MARYLAND,AV,,,E,,,,,,
93X EARL ST ,93X,EARL,ST,,,,,,,,,
86X ROSE AV E,86X,ROSE,AV,,,E,,,,,,
60X WELLS ST ,60X,WELLS,ST,,,,,,,,,
117X FOREST ST ,117X,FOREST,ST,,,,,,,,,
91X ARKWRIGHT ST ,91X,ARKWRIGHT,ST,,,,,,,,,
90X IVY AV E,90X,IVY,AV,,,E,,,,,,
93X WESTMINSTER ST ,93X,WESTMINSTER,ST,,,,,,,,,
108X COOK AV E,108X,COOK,AV,,,E,,,,,,
136X JESSIE ST ,136X,JESSIE,ST,,,,,,,,,
94X HAWTHORNE AV E,94X,HAWTHORNE,AV,,,E,,,,,,
84X MARYLAND AV E,84X,MARYLAND,AV,,,E,,,,,,
89X ARKWRIGHT ST ,89X,ARKWRIGHT,ST,,,,,,,,,
120X PAYNE AV ,120X,PAYNE,AV,,,,,,,,,
40X ROSE AV E,40X,ROSE,AV,,,E,,,,,,
147X PAYNE AV ,147X,PAYNE,AV,,,,,,,,,
99X ARCADE ST ,99X,ARCADE,ST,,,,,,,,,
42X MAGNOLIA AV E,42X,MAGNOLIA,AV,,,E,,,,,,
108X EDGERTON ST ,108X,EDGERTON,ST,,,,,,,,,
125X MAGNOLIA AV E,125X,MAGNOLIA,AV,,,E,,,,,,
78X LAWSON AV E,78X,LAWSON,AV,,,E,,,,,,
114X PAYNE AV ,114X,PAYNE,AV,,,,,,,,,
92X DESOTO ST ,92X,DESOTO,ST,,,,,,,,,
59X MAGNOLIA AV E,59X,MAGNOLIA,AV,,,E,,,,,,
97X EARL ST ,97X,EARL,ST,,,,,,,,,
134X ARCADE ST ,134X,ARCADE,ST,,,,,,,,,
40X PHALEN BD ,40X,PHALEN,BD,,,,,,,,,
165X WESTMINSTER ST ,165X,WESTMINSTER,ST,,,,,,,,,
132X ARCADE ST ,132X,ARCADE,ST,,,,,,,,,
119X EARL ST ,119X,EARL,ST,,,,,,,,,
136X ARKWRIGHT ST ,136X,ARKWRIGHT,ST,,,,,,,,,
CASE AV  & EARL,,CASE,AV,&,EARL,,,,,,,
ARCADE ST  & COOK,,ARCADE,ST,&,COOK,,,,,,,
52X MARYLAND AV E,52X,MARYLAND,AV,,,E,,,,,,
105X PAYNE AV ,105X,PAYNE,AV,,,,,,,,,
89X ARCADE ST ,89X,ARCADE,ST,,,,,,,,,
152X WESTMINSTER ST ,152X,WESTMINSTER,ST,,,,,,,,,
60X MAGNOLIA AV E,60X,MAGNOLIA,AV,,,E,,,,,,
132X WESTMINSTER ST ,132X,WESTMINSTER,ST,,,,,,,,,
FOREST ST  & GERANIUM,,FOREST,ST,&,GERANIUM,,,,,,,
89X MAGNOLIA AV E,89X,MAGNOLIA,AV,,,E,,,,,,
65X WELLS ST ,65X,WELLS,ST,,,,,,,,,
67X SHERWOOD AV ,67X,SHERWOOD,AV,,,,,,,,,
155X EDGERTON ST ,155X,EDGERTON,ST,,,,,,,,,
36X GROVE ST ,36X,GROVE,ST,,,,,,,,,
161X PHALEN DR ,161X,PHALEN,DR,,,,,,,,,
BURR ST  & YORK,,BURR,ST,&,YORK,,,,,,,
78X GERANIUM AV E,78X,GERANIUM,AV,,,E,,,,,,
53X HOYT AV E,53X,HOYT,AV,,,E,,,,,,
DULUTH ST  & LARPENTEUR,,DULUTH,ST,&,LARPENTEUR,,,,,,,
89X MAGNOLIA AV E,89X,MAGNOLIA,AV,,,E,,,,,,
103X ARKWRIGHT ST ,103X,ARKWRIGHT,ST,,,,,,,,,
94X CLARK ST ,94X,CLARK,ST,,,,,,,,,
60X WHITALL ST ,60X,WHITALL,ST,,,,,,,,,
97X GERANIUM AV E,97X,GERANIUM,AV,,,E,,,,,,
36X GROVE ST ,36X,GROVE,ST,,,,,,,,,
36X GROVE ST ,36X,GROVE,ST,,,,,,,,,
94X CLARK ST ,94X,CLARK,ST,,,,,,,,,
89X BURR ST ,89X,BURR,ST,,,,,,,,,
52X MARYLAND AV E,52X,MARYLAND,AV,,,E,,,,,,
103X ORANGE AV E,103X,ORANGE,AV,,,E,,,,,,
AGUIRRE AV  & PAYNE,,AGUIRRE,AV,&,PAYNE,,,,,,,
GERANIUM AV E & PAYNE,,,,,,,GERANIUM AV E & PAYNE,,,,,
ARKWRIGHT ST  & JESSAMINE,,ARKWRIGHT,ST,&,JESSAMINE,,,,,,,
60X HOYT AV E,60X,HOYT,AV,,,E,,,,,,
105X ORANGE AV E,105X,ORANGE,AV,,,E,,,,,,
60X WHITALL ST ,60X,WHITALL,ST,,,,,,,,,
91X DESOTO ST ,91X,DESOTO,ST,,,,,,,,,
7 ST E & PAYNE,7,ST E,,&,PAYNE,,,,,,,
78X JESSAMINE AV E,78X,JESSAMINE,AV,,,E,,,,,,
10XX DULUTH ST ,10XX,DULUTH,ST,,,,,,,,,
89X ARCADE ST ,89X,ARCADE,ST,,,,,,,,,
73X JESSAMINE AV E,73X,JESSAMINE,AV,,,E,,,,,,
79X MAGNOLIA AV E,79X,MAGNOLIA,AV,,,E,,,,,,
113X JESSIE ST ,113X,JESSIE,ST,,,,,,,,,
78X JESSAMINE AV E,78X,JESSAMINE,AV,,,E,,,,,,
44X WHITALL ST ,44X,WHITALL,ST,,,,,,,,,
107X ARKWRIGHT ST ,107X,ARKWRIGHT,ST,,,,,,,,,
7 ST E & PAYNE,7,ST E,,&,PAYNE,,,,,,,
60X IDAHO AV E,60X,IDAHO,AV,,,E,,,,,,
120X PAYNE AV ,120X,PAYNE,AV,,,,,,,,,
73X COOK AV E,73X,COOK,AV,,,E,,,,,,
121X BRIGHTON PL ,121X,BRIGHTON,PL,,,,,,,,,
89X IVY AV E,89X,IVY,AV,,,E,,,,,,
74X CLARK ST ,74X,CLARK,ST,,,,,,,,,
68X CASE AV ,68X,CASE,AV,,,,,,,,,
55X GERANIUM AV E,55X,GERANIUM,AV,,,E,,,,,,
113X HYACINTH AV E,113X,HYACINTH,AV,,,E,,,,,,
72X SHERWOOD AV ,72X,SHERWOOD,AV,,,,,,,,,
74X BRADLEY ST ,74X,BRADLEY,ST,,,,,,,,,
37X JESSAMINE AV E,37X,JESSAMINE,AV,,,E,,,,,,
75X PAYNE AV ,75X,PAYNE,AV,,,,,,,,,
71X MAGNOLIA AV E,71X,MAGNOLIA,AV,,,E,,,,,,
67X HAWTHORNE AV E,67X,HAWTHORNE,AV,,,E,,,,,,
115X BRADLEY ST ,115X,BRADLEY,ST,,,,,,,,,
140X ARCADE ST ,140X,ARCADE,ST,,,,,,,,,
115X MAGNOLIA AV E,115X,MAGNOLIA,AV,,,E,,,,,,
100X JENKS AV ,100X,JENKS,AV,,,,,,,,,
32X COOK AV E,32X,COOK,AV,,,E,,,,,,
73X JENKS AV ,73X,JENKS,AV,,,,,,,,,
101X EDGERTON ST ,101X,EDGERTON,ST,,,,,,,,,
72X ORANGE AV E,72X,ORANGE,AV,,,E,,,,,,
GREENBRIER ST  & JESSAMINE,,GREENBRIER,ST,&,JESSAMINE,,,,,,,
96X ORANGE AV E,96X,ORANGE,AV,,,E,,,,,,
ARLINGTON AV E & WESTMINSTER,,,,,,,ARLINGTON AV E & WESTMINSTER,,,,,
105X PAYNE AV ,105X,PAYNE,AV,,,,,,,,,
128X DESOTO ST ,128X,DESOTO,ST,,,,,,,,,
34X COOK AV E,34X,COOK,AV,,,E,,,,,,
53X TEDESCO ST ,53X,TEDESCO,ST,,,,,,,,,
102X ROSE AV E,102X,ROSE,AV,,,E,,,,,,
100X PAYNE AV ,100X,PAYNE,AV,,,,,,,,,
161X SLOAN ST ,161X,SLOAN,ST,,,,,,,,,
60X HOYT AV E,60X,HOYT,AV,,,E,,,,,,
73X CASE AV ,73X,CASE,AV,,,,,,,,,
87X PAYNE AV ,87X,PAYNE,AV,,,,,,,,,
156X ENGLISH ST ,156X,ENGLISH,ST,,,,,,,,,
85X PAYNE AV ,85X,PAYNE,AV,,,,,,,,,
110X JENKS AV ,110X,JENKS,AV,,,,,,,,,
116X EARL ST ,116X,EARL,ST,,,,,,,,,
ARCADE ST  & YORK,,ARCADE,ST,&,YORK,,,,,,,
CYPRESS ST  & HAWTHORNE,,CYPRESS,ST,&,HAWTHORNE,,,,,,,
66X CASE AV ,66X,CASE,AV,,,,,,,,,
104X MARYLAND AV E,104X,MARYLAND,AV,,,E,,,,,,
BURR ST  & COTTAGE,,BURR,ST,&,COTTAGE,,,,,,,
102X ATLANTIC ST ,102X,ATLANTIC,ST,,,,,,,,,
110X COOK AV E,110X,COOK,AV,,,E,,,,,,
165X ENGLISH ST ,165X,ENGLISH,ST,,,,,,,,,
74X HAWTHORNE AV E,74X,HAWTHORNE,AV,,,E,,,,,,
99X PAYNE AV ,99X,PAYNE,AV,,,,,,,,,
107X ARKWRIGHT ST ,107X,ARKWRIGHT,ST,,,,,,,,,
110X MARYLAND AV E,110X,MARYLAND,AV,,,E,,,,,,
117X WESTMINSTER ST ,117X,WESTMINSTER,ST,,,,,,,,,
60X LAWSON AV E,60X,LAWSON,AV,,,E,,,,,,
98X PAYNE AV ,98X,PAYNE,AV,,,,,,,,,
54X BRUNSON ST ,54X,BRUNSON,ST,,,,,,,,,
116X MARYLAND AV E,116X,MARYLAND,AV,,,E,,,,,,
136X ARKWRIGHT ST ,136X,ARKWRIGHT,ST,,,,,,,,,
73X CASE AV ,73X,CASE,AV,,,,,,,,,
114X COOK AV E,114X,COOK,AV,,,E,,,,,,
161X SLOAN ST ,161X,SLOAN,ST,,,,,,,,,
75X HOYT AV E,75X,HOYT,AV,,,E,,,,,,
44X MARYLAND AV E,44X,MARYLAND,AV,,,E,,,,,,
98X ORANGE AV E,98X,ORANGE,AV,,,E,,,,,,
66X MONTANA AV E,66X,MONTANA,AV,,,E,,,,,,
86X ORANGE AV E,86X,ORANGE,AV,,,E,,,,,,
165X ENGLISH ST ,165X,ENGLISH,ST,,,,,,,,,
98X ORANGE AV E,98X,ORANGE,AV,,,E,,,,,,
108X CYPRESS ST ,108X,CYPRESS,ST,,,,,,,,,
153X PAYNE AV ,153X,PAYNE,AV,,,,,,,,,
43X NEVADA AV E,43X,NEVADA,AV,,,E,,,,,,
88X ARCADE ST ,88X,ARCADE,ST,,,,,,,,,
ARKWRIGHT ST  & MAGNOLIA,,ARKWRIGHT,ST,&,MAGNOLIA,,,,,,,
DESOTO ST  & JESSAMINE,,DESOTO,ST,&,JESSAMINE,,,,,,,
89X ARCADE ST ,89X,ARCADE,ST,,,,,,,,,
67X JESSAMINE AV E,67X,JESSAMINE,AV,,,E,,,,,,
131X PAYNE AV ,131X,PAYNE,AV,,,,,,,,,
BURR ST  & WHITALL,,BURR,ST,&,WHITALL,,,,,,,
89X PAYNE AV ,89X,PAYNE,AV,,,,,,,,,
133X MISSISSIPPI ST ,133X,MISSISSIPPI,ST,,,,,,,,,
66X JESSAMINE AV E,66X,JESSAMINE,AV,,,E,,,,,,
63X PHALEN BD ,63X,PHALEN,BD,,,,,,,,,
134X SEARLE ST ,134X,SEARLE,ST,,,,,,,,,
130X EARL ST ,130X,EARL,ST,,,,,,,,,
72X DESOTO ST ,72X,DESOTO,ST,,,,,,,,,
29X ARLINGTON AV E,29X,ARLINGTON,AV,,,E,,,,,,
88X MAGNOLIA AV E,88X,MAGNOLIA,AV,,,E,,,,,,
69X HAWTHORNE AV E,69X,HAWTHORNE,AV,,,E,,,,,,
74X CASE AV ,74X,CASE,AV,,,,,,,,,
105X FOREST ST ,105X,FOREST,ST,,,,,,,,,
102X JESSIE ST ,102X,JESSIE,ST,,,,,,,,,
COOK AV E & PAYNE,,COOK,AV,&,PAYNE,E,,,,,,
104X ROSE AV E,104X,ROSE,AV,,,E,,,,,,
107X ARKWRIGHT ST ,107X,ARKWRIGHT,ST,,,,,,,,,
161X ENGLISH ST ,161X,ENGLISH,ST,,,,,,,,,
31X YORK AV ,31X,YORK,AV,,,,,,,,,
115X HAWTHORNE AV E,115X,HAWTHORNE,AV,,,E,,,,,,
50X LAFAYETTE RD ,50X,LAFAYETTE,RD,,,,,,,,,
JESSAMINE AV E & PAYNE,,JESSAMINE,AV,&,PAYNE,E,,,,,,
78X GERANIUM AV E,78X,GERANIUM,AV,,,E,,,,,,
89X ARCADE ST ,89X,ARCADE,ST,,,,,,,,,
124X EDGERTON ST ,124X,EDGERTON,ST,,,,,,,,,
95X JESSIE ST ,95X,JESSIE,ST,,,,,,,,,
60X ORANGE AV E,60X,ORANGE,AV,,,E,,,,,,
CASE AV  & CLARK,,CASE,AV,&,CLARK,,,,,,,
127X EARL ST ,127X,EARL,ST,,,,,,,,,
95X LAWSON AV E,95X,LAWSON,AV,,,E,,,,,,
71X COOK AV E,71X,COOK,AV,,,E,,,,,,
84X ROSE AV E,84X,ROSE,AV,,,E,,,,,,
36X GROVE ST ,36X,GROVE,ST,,,,,,,,,
87X ARCADE ST ,87X,ARCADE,ST,,,,,,,,,
65X YORK AV ,65X,YORK,AV,,,,,,,,,
52X LAFAYETTE RD ,52X,LAFAYETTE,RD,,,,,,,,,
45X MARYLAND AV E,45X,MARYLAND,AV,,,E,,,,,,
89X ARCADE ST ,89X,ARCADE,ST,,,,,,,,,
110X PAYNE AV ,110X,PAYNE,AV,,,,,,,,,
71X BEDFORD ST ,71X,BEDFORD,ST,,,,,,,,,
120X JESSAMINE AV E,120X,JESSAMINE,AV,,,E,,,,,,
73X IOWA AV E,73X,IOWA,AV,,,E,,,,,,
79X MAGNOLIA AV E,79X,MAGNOLIA,AV,,,E,,,,,,
93X HAWTHORNE AV E,93X,HAWTHORNE,AV,,,E,,,,,,
102X HAWTHORNE AV E,102X,HAWTHORNE,AV,,,E,,,,,,
66X GERANIUM AV E,66X,GERANIUM,AV,,,E,,,,,,
40X MARYLAND AV E,40X,MARYLAND,AV,,,E,,,,,,
114X PAYNE AV ,114X,PAYNE,AV,,,,,,,,,
40X CASE AV ,40X,CASE,AV,,,,,,,,,
PAYNE AV  & ROSE,,PAYNE,AV,&,ROSE,,,,,,,
124X PAYNE AV ,124X,PAYNE,AV,,,,,,,,,
91X JENKS AV ,91X,JENKS,AV,,,,,,,,,
93X SIMS AV ,93X,SIMS,AV,,,,,,,,,
116X BURNQUIST ST ,116X,BURNQUIST,ST,,,,,,,,,
155X EASTSHORE DR ,155X,EASTSHORE,DR,,,,,,,,,
101X JENKS AV ,101X,JENKS,AV,,,,,,,,,
71X BEDFORD ST ,71X,BEDFORD,ST,,,,,,,,,
100X PAYNE AV ,100X,PAYNE,AV,,,,,,,,,
112X ARCADE ST ,112X,ARCADE,ST,,,,,,,,,
HAWTHORNE AV E & PAYNE,,HAWTHORNE,AV,&,PAYNE,E,,,,,,
149X EASTSHORE DR ,149X,EASTSHORE,DR,,,,,,,,,
114X PAYNE AV ,114X,PAYNE,AV,,,,,,,,,
52X CASE AV ,52X,CASE,AV,,,,,,,,,
109X MAGNOLIA AV E,109X,MAGNOLIA,AV,,,E,,,,,,
77X MARYLAND AV E,77X,MARYLAND,AV,,,E,,,,,,
87X ARCADE ST ,87X,ARCADE,ST,,,,,,,,,
112X BURNQUIST ST ,112X,BURNQUIST,ST,,,,,,,,,
159X SLOAN ST ,159X,SLOAN,ST,,,,,,,,,
157X ARCADE ST ,157X,ARCADE,ST,,,,,,,,,
84X JESSAMINE AV E,84X,JESSAMINE,AV,,,E,,,,,,
114X PAYNE AV ,114X,PAYNE,AV,,,,,,,,,
66X COOK AV E,66X,COOK,AV,,,E,,,,,,
65X LAWSON AV E,65X,LAWSON,AV,,,E,,,,,,
MARYLAND AV E & WEIDE,,,,,,,MARYLAND AV E & WEIDE,,,,,
144X WESTMINSTER ST ,144X,WESTMINSTER,ST,,,,,,,,,
88X LAWSON AV E,88X,LAWSON,AV,,,E,,,,,,
114X PAYNE AV ,114X,PAYNE,AV,,,,,,,,,
64X SHERWOOD AV ,64X,SHERWOOD,AV,,,,,,,,,
74X COOK AV E,74X,COOK,AV,,,E,,,,,,
120X PAYNE AV ,120X,PAYNE,AV,,,,,,,,,
85X BRADLEY ST ,85X,BRADLEY,ST,,,,,,,,,
73X COOK AV E,73X,COOK,AV,,,E,,,,,,
95X LAWSON AV E,95X,LAWSON,AV,,,E,,,,,,
120X WESTMINSTER ST ,120X,WESTMINSTER,ST,,,,,,,,,
26X UNIVERSITY AV E,26X,UNIVERSITY,AV,,,E,,,,,,
106X LAWSON AV E,106X,LAWSON,AV,,,E,,,,,,
97X LAWSON AV E,97X,LAWSON,AV,,,E,,,,,,
46X MARYLAND AV E,46X,MARYLAND,AV,,,E,,,,,,
BURR ST  & JENKS,,BURR,ST,&,JENKS,,,,,,,
89X ARCADE ST ,89X,ARCADE,ST,,,,,,,,,
99X ARCADE ST ,99X,ARCADE,ST,,,,,,,,,
66X ORANGE AV E,66X,ORANGE,AV,,,E,,,,,,
91X MARYLAND AV E,91X,MARYLAND,AV,,,E,,,,,,
60X HYACINTH AV E,60X,HYACINTH,AV,,,E,,,,,,
120X PAYNE AV ,120X,PAYNE,AV,,,,,,,,,
120X PAYNE AV ,120X,PAYNE,AV,,,,,,,,,
54X PAYNE AV ,54X,PAYNE,AV,,,,,,,,,
160X ENGLISH ST ,160X,ENGLISH,ST,,,,,,,,,
100X WALSH ST ,100X,WALSH,ST,,,,,,,,,
135X WESTMINSTER ST ,135X,WESTMINSTER,ST,,,,,,,,,
108X CYPRESS ST ,108X,CYPRESS,ST,,,,,,,,,
78X CASE AV ,78X,CASE,AV,,,,,,,,,
66X ORANGE AV E,66X,ORANGE,AV,,,E,,,,,,
59X ARLINGTON AV E,59X,ARLINGTON,AV,,,E,,,,,,
84X JESSIE ST ,84X,JESSIE,ST,,,,,,,,,
76X MONTANA AV E,76X,MONTANA,AV,,,E,,,,,,
71X SHERWOOD AV ,71X,SHERWOOD,AV,,,,,,,,,
74X SHERWOOD AV ,74X,SHERWOOD,AV,,,,,,,,,
100X WALSH ST ,100X,WALSH,ST,,,,,,,,,
63X SHERWOOD AV ,63X,SHERWOOD,AV,,,,,,,,,
73X NEVADA AV E,73X,NEVADA,AV,,,E,,,,,,
CASE AV  & PAYNE,,CASE,AV,&,PAYNE,,,,,,,
74X WHEELOCK PA E,74X,WHEELOCK,PA,,,E,,,,,,
117X MARYLAND AV E,117X,MARYLAND,AV,,,E,,,,,,
62X LARPENTEUR AV E,62X,LARPENTEUR,AV,,,E,,,,,,
66X HOYT AV E,66X,HOYT,AV,,,E,,,,,,
80X JESSAMINE AV E,80X,JESSAMINE,AV,,,E,,,,,,
134X ARCADE ST ,134X,ARCADE,ST,,,,,,,,,
73X BRADLEY ST ,73X,BRADLEY,ST,,,,,,,,,
101X PAYNE AV ,101X,PAYNE,AV,,,,,,,,,
89X ARCADE ST ,89X,ARCADE,ST,,,,,,,,,
117X EDGERTON ST ,117X,EDGERTON,ST,,,,,,,,,
85X JENKS AV ,85X,JENKS,AV,,,,,,,,,
89X SHERWOOD AV ,89X,SHERWOOD,AV,,,,,,,,,
106X COOK AV E,106X,COOK,AV,,,E,,,,,,
106X COOK AV E,106X,COOK,AV,,,E,,,,,,
39X JESSAMINE AV E,39X,JESSAMINE,AV,,,E,,,,,,
66X COOK AV E,66X,COOK,AV,,,E,,,,,,
71X MARYLAND AV E,71X,MARYLAND,AV,,,E,,,,,,
107X ARKWRIGHT ST ,107X,ARKWRIGHT,ST,,,,,,,,,
53X CASE AV ,53X,CASE,AV,,,,,,,,,
95X ARCADE ST ,95X,ARCADE,ST,,,,,,,,,
73X JESSAMINE AV E,73X,JESSAMINE,AV,,,E,,,,,,
89X SHERWOOD AV ,89X,SHERWOOD,AV,,,,,,,,,
117X WESTMINSTER ST ,117X,WESTMINSTER,ST,,,,,,,,,
52X TEDESCO ST ,52X,TEDESCO,ST,,,,,,,,,
ARCADE ST  & LAWSON,,ARCADE,ST,&,LAWSON,,,,,,,
112X ORANGE AV E,112X,ORANGE,AV,,,E,,,,,,
89X ARCADE ST ,89X,ARCADE,ST,,,,,,,,,
106X GREENBRIER ST ,106X,GREENBRIER,ST,,,,,,,,,
49X BEAUMONT ST ,49X,BEAUMONT,ST,,,,,,,,,
114X PAYNE AV ,114X,PAYNE,AV,,,,,,,,,
128X ARCADE ST ,128X,ARCADE,ST,,,,,,,,,
32X COOK AV E,32X,COOK,AV,,,E,,,,,,
DESOTO ST  & WHITALL,,DESOTO,ST,&,WHITALL,,,,,,,
132X WALSH ST ,132X,WALSH,ST,,,,,,,,,
102X JENKS AV ,102X,JENKS,AV,,,,,,,,,
152X PAYNE AV ,152X,PAYNE,AV,,,,,,,,,
38X LARPENTEUR AV E,38X,LARPENTEUR,AV,,,E,,,,,,
65X MINNEHAHA AV E,65X,MINNEHAHA,AV,,,E,,,,,,
132X MISSISSIPPI ST ,132X,MISSISSIPPI,ST,,,,,,,,,
166X PAYNE AV ,166X,PAYNE,AV,,,,,,,,,
85X PAYNE AV ,85X,PAYNE,AV,,,,,,,,,
90X CASE AV ,90X,CASE,AV,,,,,,,,,
47X MINNEHAHA AV E,47X,MINNEHAHA,AV,,,E,,,,,,
132X MISSISSIPPI ST ,132X,MISSISSIPPI,ST,,,,,,,,,
102X BURR ST ,102X,BURR,ST,,,,,,,,,
60X ROSE AV E,60X,ROSE,AV,,,E,,,,,,
116X WESTMINSTER ST ,116X,WESTMINSTER,ST,,,,,,,,,
6XX MINNEHAHA AV E,6XX,MINNEHAHA,AV,,,E,,,,,,
89X ARCADE ST ,89X,ARCADE,ST,,,,,,,,,
60X CASE AV ,60X,CASE,AV,,,,,,,,,
37X COOK AV E,37X,COOK,AV,,,E,,,,,,
39X MARYLAND AV E,39X,MARYLAND,AV,,,E,,,,,,
87X WHEELOCK PA E,87X,WHEELOCK,PA,,,E,,,,,,
84X PAYNE AV ,84X,PAYNE,AV,,,,,,,,,
88X ORANGE AV E,88X,ORANGE,AV,,,E,,,,,,
26X UNIVERSITY AV E,26X,UNIVERSITY,AV,,,E,,,,,,
79X JESSAMINE AV E,79X,JESSAMINE,AV,,,E,,,,,,
70X COOK AV E,70X,COOK,AV,,,E,,,,,,
66X SHERWOOD AV ,66X,SHERWOOD,AV,,,,,,,,,
133X BURR ST ,133X,BURR,ST,,,,,,,,,
ARCADE ST  & HAWTHORNE,,ARCADE,ST,&,HAWTHORNE,,,,,,,
108X BRADLEY ST ,108X,BRADLEY,ST,,,,,,,,,
122X WESTMINSTER ST ,122X,WESTMINSTER,ST,,,,,,,,,
132X MISSISSIPPI ST ,132X,MISSISSIPPI,ST,,,,,,,,,
135X WESTMINSTER ST ,135X,WESTMINSTER,ST,,,,,,,,,
37X COOK AV E,37X,COOK,AV,,,E,,,,,,
30X LARPENTEUR AV E,30X,LARPENTEUR,AV,,,E,,,,,,
